facility_code,facility_name,network_id,network_region,latitude,longitude,unit_code,unit_code_display,fueltech_id,status_id,capacity_registered,capacity_maximum,capacity_storage,max_generation,registered_date,expected_closure_date,data_first_seen,data_last_seen
INVESTEC_COLLGAR,Collgar,WEM,WEM,-31.542533,118.456525,INVESTEC_COLLGAR_WF1,INVESTEC_COLLGAR_WF1,wind,operating,222,222,,218.5,,2040-12-31T16:00:00+10:00,2013-12-17T08:00:00+10:00,2026-08-01T14:15:00+10:00
COLLIE,Collie,WEM,WEM,-33.342097,116.261439,COLLIE_G1,COLLIE_G1,coal_black,operating,318.3,318.3,,342.969,,2027-09-30T16:00:00+10:00,2013-12-18T08:00:00+10:00,2026-08-01T14:15:00+10:00
COLLIE_ESR4,Collie,WEM,WEM,-33.336691,116.261109,COLLIE_ESR4,COLLIE_ESR4,battery,operating,250,250,1200,251.7333,,2054-12-31T16:00:00+08:00,2025-10-14T11:00:00+08:00,2026-08-01T08:25:00+08:00
COLLIE_ESR,Collie 1,WEM,WEM,-33.311307,116.293545,COLLIE_ESR1,COLLIE_ESR1,battery,operating,219,219,877,200,,2048-12-31T16:00:00+08:00,2025-09-02T08:00:00+08:00,2026-08-01T07:45:00+08:00
COLLIE_BESS2,Collie 2,WEM,WEM,-33.303201,116.296291,COLLIE_BESS2,COLLIE_BESS2,battery,operating,341,341,1363,300,,2044-12-31T16:00:00+08:00,2025-09-02T08:00:00+08:00,2026-08-01T07:20:00+08:00
COLLIE_ESR5,Collie 2,WEM,WEM,-33.336691,116.261109,COLLIE_ESR5,COLLIE_ESR5,battery,operating,250,250,1200,252.5601,,2054-12-31T16:00:00+08:00,2025-11-04T12:05:00+08:00,2026-08-01T08:50:00+08:00
CSPVPS,Collinsville,NEM,QLD1,-20.541215,147.807432,CSPVPS1,CSPVPS1,solar_utility,operating,42,40,,41.612,,2043-12-31T14:00:00+10:00,2018-07-31T14:30:00+10:00,2026-08-01T16:20:00+10:00
COLONGRA,Colongra,NEM,NSW1,-33.209801,151.544968,CG2,CG2,gas_ocgt,operating,181,181,,192.6963,,2069-12-31T14:00:00+08:00,2009-07-23T12:30:00+08:00,2026-07-21T09:05:00+08:00
COLONGRA,Colongra,NEM,NSW1,-33.209801,151.544968,CG1,CG1,gas_ocgt,operating,181,181,,195.805,,2069-12-31T14:00:00+08:00,2009-06-22T17:45:00+08:00,2026-07-20T09:05:00+08:00
COLONGRA,Colongra,NEM,NSW1,-33.209801,151.544968,CG4,CG4,gas_ocgt,operating,181,181,,192.7412,,2069-12-31T14:00:00+08:00,2009-10-21T20:40:00+08:00,2026-07-17T09:05:00+08:00
COLONGRA,Colongra,NEM,NSW1,-33.209801,151.544968,CG3,CG3,gas_ocgt,operating,181,181,,197.4888,,2069-12-31T14:00:00+08:00,2009-09-12T18:35:00+08:00,2026-07-22T09:05:00+08:00
COLUMSF,Columboola,NEM,QLD1,-26.633781,150.298894,COLUMSF1,COLUMSF1,solar_utility,operating,217,162,,166.4727,,2045-12-31T14:00:00+10:00,2022-06-14T10:30:00+10:00,2026-08-01T16:20:00+10:00
CPSA,Condamine A,NEM,QLD1,-26.668181,150.270023,CPSA,CPSA,gas_ccgt,operating,143,144,,145.6875,,2038-12-31T14:00:00+10:00,2009-07-08T16:25:00+10:00,2026-07-27T21:55:00+10:00
CONDONG1,Condong,NEM,NSW1,-28.314766,153.433808,CONDONG1,CONDONG1,bioenergy_biomass,operating,30,30,,28.24,,2037-12-31T14:00:00+10:00,2023-08-01T00:05:00+10:00,2026-08-01T16:20:00+10:00
CBWF,Coonoer Bridge,NEM,VIC1,-36.415237,143.380189,CBWF1,CBWF1,wind,operating,19.8,20,,,,2035-12-31T14:00:00Z,,
COOPGWF,Coopers Gap,NEM,QLD1,-26.717004,151.449177,COOPGWF1,COOPGWF1,wind,operating,452,440,,442.28,,2043-12-31T14:00:00+10:00,2019-06-24T11:15:00+10:00,2026-08-01T16:20:00+10:00
COPTNHYD,Copeton,NEM,NSW1,-29.910174,150.92348,COPTNHYD,COPTNHYD,hydro,operating,22.5,23,,,,2035-12-31T14:00:00Z,,
CRWASF1,Corowa,NEM,NSW1,-35.979325,146.359356,CRWASF1,CRWASF1,solar_utility,operating,36,30,,34.6481,,2050-12-31T14:00:00+10:00,2021-02-14T12:55:00+10:00,2026-08-01T16:20:00+10:00
CROOKWEL,Crookwell,NEM,NSW1,-34.5165,149.54248,CROOKWEL,CROOKWEL,wind,operating,4.8,4.8,,,,2027-12-31T14:00:00Z,,
CROOKWF2,Crookwell 2,NEM,NSW1,-34.556855,149.609565,CROOKWF2,CROOKWF2,wind,operating,96.04,91,,95.3038,,2053-12-31T14:00:00+10:00,2018-08-14T08:50:00+10:00,2026-08-01T16:20:00+10:00
CROOKWF3,Crookwell 3,NEM,NSW1,-34.484645,149.54447,CROOKWF3,CROOKWF3,wind,operating,57,53,,56.1554,,2053-12-31T14:00:00+10:00,2024-05-22T14:00:00+10:00,2026-08-01T16:20:00+10:00
CROWLWF,Crowlands,NEM,VIC1,-36.97615,143.097998,CROWLWF1,CROWLWF1,wind,operating,79.95,79,,81.6251,,2048-12-31T14:00:00+10:00,2018-12-09T12:55:00+10:00,2026-08-01T16:20:00+10:00
CRURWF1,Crudine Ridge,NEM,NSW1,-32.864748,149.81297,CRURWF1,CRURWF1,wind,operating,141,138,,141.2962,,2040-12-31T14:00:00+10:00,2020-12-02T10:35:00+10:00,2026-08-01T16:20:00+10:00
CULCSF,Culcairn,NEM,NSW1,-35.709592,146.981761,CUSF1,CUSF1,solar_utility,operating,466,350,,354.8441,,2059-12-31T14:00:00+10:00,2025-08-01T11:20:00+10:00,2026-08-01T16:20:00+10:00
CULLERIN,Cullerin Range,NEM,NSW1,-34.809208,149.399185,CULLRGWF,CULLRGWF,wind,operating,30,30,,33.669,,2037-12-31T14:00:00+10:00,2009-07-01T00:05:00+10:00,2026-08-01T16:20:00+10:00
SBSOLAR1_CUNDERDIN_PV,Cunderdin,WEM,WEM,-31.656115,117.276303,SBSOLAR1_CUNDERDIN_PV1,SBSOLAR1_CUNDERDIN_PV1,solar_utility,operating,128,128,,100.0537,,2048-12-31T16:00:00+10:00,2024-08-19T16:15:00+10:00,2026-08-01T14:15:00+10:00
DALNTH,Dalrymple North,NEM,SA1,-34.933952,137.743532,DALNTH1,DALNTH1,battery,operating,30,30,12.2,30.0251,,2029-12-31T14:00:00+10:00,2024-08-08T04:15:00+10:00,2026-08-01T15:05:00+10:00
DDPS1,Darling Downs,NEM,QLD1,-27.116855,150.894761,DDPS1,DDPS1,gas_ccgt,operating,644,663,,665.166,,2049-12-31T14:00:00+08:00,2009-12-05T13:00:00+08:00,2026-07-30T23:40:00+08:00
DDSF,Darling Downs,NEM,QLD1,-27.113797,150.879733,DDSF1,DDSF1,solar_utility,operating,121,108,,111.358,,2044-12-31T14:00:00+10:00,2018-07-28T11:05:00+10:00,2026-08-01T16:20:00+10:00
DARLSF,Darlington Point,NEM,NSW1,-34.648971,146.061179,DARLSF1,DARLSF1,solar_utility,operating,324,275,,278.595,,2054-12-31T14:00:00+10:00,2020-09-03T10:50:00+10:00,2026-08-01T16:20:00+10:00
DPNTB,Darlington Point,NEM,NSW1,-34.647016,146.035236,DPNTB1,DPNTB1,battery,operating,25,25,50,25.2316,,2050-12-31T14:00:00+10:00,2024-08-08T04:10:00+10:00,2026-08-01T15:15:00+10:00
DARTM,Dartmouth,NEM,VIC1,-36.556485,147.520456,DARTM1,DARTM1,hydro,operating,185,185,,182.5,,2056-12-31T14:00:00+10:00,1998-12-07T07:25:00+10:00,2026-07-31T09:40:00+10:00
DAYDSF,Daydream,NEM,QLD1,-20.479752,147.763711,DAYDSF1,DAYDSF1,solar_utility,operating,167,150,,150.234,,2047-12-31T14:00:00+10:00,2018-10-24T17:10:00+10:00,2026-08-01T16:20:00+10:00
DCWL_DENMARK,Denmark,WEM,WEM,-35.036971,117.319012,DCWL_DENMARK_WF1,DCWL_DENMARK_WF1,wind,operating,1.44,1.44,,1.468,,2032-12-31T16:00:00+10:00,2013-12-17T08:00:00+10:00,2026-08-01T14:15:00+10:00
DEVILS_G,Devils Gate,NEM,TAS1,-41.350513,146.263394,DEVILS_G,DEVILS_G,hydro,operating,60,67,,66.2935,,2099-12-31T14:00:00+10:00,2005-05-16T13:35:00+10:00,2026-08-01T16:20:00+10:00
DIAPURWF,Diapur 2,NEM,VIC1,-36.339953,141.447361,DIAPURWF1,DIAPURWF1,wind,operating,8,7,,8.4,,2045-12-31T14:00:00+10:00,2021-11-25T16:25:00+10:00,2026-08-01T16:20:00+10:00
DRYCGT,Dry Creek,NEM,SA1,-34.847703,138.5816,DRYCGT2,DRYCGT2,gas_ocgt,operating,52,57,,52.69,,2029-12-31T14:00:00+10:00,1998-12-10T17:45:00+10:00,2026-07-01T15:45:00+10:00
DRYCGT,Dry Creek,NEM,SA1,-34.847703,138.5816,DRYCGT1,DRYCGT1,gas_ocgt,operating,52,57,,56.56,,2029-12-31T14:00:00+10:00,1998-12-08T08:15:00+10:00,2026-07-08T21:05:00+10:00
DRYCGT,Dry Creek,NEM,SA1,-34.847703,138.5816,DRYCGT3,DRYCGT3,gas_ocgt,operating,52,57,,57.15,,2029-12-31T14:00:00+10:00,1998-12-10T17:45:00+10:00,2026-06-22T09:05:00+10:00
DULAWF,Dulacca,NEM,QLD1,-26.631438,149.867554,DULAWF1,DULAWF1,wind,operating,180,173,,175,,2052-12-31T14:00:00+10:00,2023-04-13T11:40:00+10:00,2026-08-01T16:20:00+10:00
DUNDWF,Dundonnell,NEM,VIC1,-37.863894,142.943454,DUNDWF3,DUNDWF3,wind,operating,121,122,,121.59,,2044-12-31T14:00:00+10:00,2020-03-11T12:50:00+10:00,2026-08-01T16:20:00+10:00
DUNDWF,Dundonnell,NEM,VIC1,-37.863894,142.943454,DUNDWF2,DUNDWF2,wind,operating,46,46,,46.15,,2044-12-31T14:00:00+10:00,2020-03-11T16:45:00+10:00,2026-08-01T16:20:00+10:00
DUNDWF,Dundonnell,NEM,VIC1,-37.863894,142.943454,DUNDWF1,DUNDWF1,wind,operating,168,168,,167.989,,2044-12-31T14:00:00+10:00,2020-04-30T18:15:00+10:00,2026-08-01T16:20:00+10:00
EASTCRK,Eastern Creek,NEM,NSW1,-33.815468,150.854307,EASTCRK,EASTCRK,bioenergy_biogas,operating,5.06,5,,,,2025-12-31T14:00:00Z,,
EASTCRK2,Eastern Creek 2,NEM,NSW1,-33.815468,150.854307,EASTCRK2,EASTCRK2,bioenergy_biogas,operating,6.74,6.74,,,,2043-12-31T14:00:00Z,,
EDENVSF,Edenvale,NEM,QLD1,-26.931732,150.582727,EDENVSF1,EDENVSF1,solar_utility,operating,180,146,,149.4139,,2052-12-31T14:00:00+10:00,2023-02-18T12:55:00+10:00,2026-08-01T16:20:00+10:00
EILDON,Eildon,NEM,VIC1,-37.221982,145.921476,EILDON2,EILDON2,hydro,operating,60,60,,62.9,,2056-12-31T14:00:00+08:00,1998-12-07T06:40:00+08:00,2026-07-31T20:45:00+08:00
EILDON,Eildon,NEM,VIC1,-37.221982,145.921476,EILDON1,EILDON1,hydro,operating,60,60,,70.5,,2056-12-31T14:00:00+08:00,1998-12-07T06:40:00+08:00,2026-07-31T20:15:00+08:00
EILDONPD,Eildon,NEM,VIC1,-37.221774,145.922582,EILDON3,EILDON3,hydro,operating,4.5,5,,,,2054-12-31T14:00:00Z,,
ELAINEWF,Elaine,NEM,VIC1,-37.6352,144.0237,ELAINWF1,ELAINWF1,wind,operating,83.6,82,,83.6,,2048-12-31T14:00:00+10:00,2020-04-07T04:25:00+10:00,2026-08-01T16:20:00+10:00
EMERASF,Emerald,NEM,QLD1,-23.507996,148.126404,EMERASF1,EMERASF1,solar_utility,operating,88,72,,73.88,,2047-12-31T14:00:00+10:00,2018-09-20T13:20:00+10:00,2026-08-01T16:20:00+10:00
EDWFMAN,Emu Downs,WEM,WEM,-30.475647,115.379052,EDWFMAN_WF1,EDWFMAN_WF1,wind,operating,79.2,79.2,,83.892,,2025-12-31T16:00:00+10:00,2013-12-17T09:00:00+10:00,2026-08-01T14:15:00+10:00
ERARING,Eraring,NEM,NSW1,-33.061039,151.51984,ER01,ER01,coal_black,operating,720,750,,752.325,,2029-04-29T14:00:00+10:00,1998-12-07T02:50:00+10:00,2026-08-01T16:20:00+10:00
ERARING,Eraring,NEM,NSW1,-33.061039,151.51984,ER04,ER04,coal_black,operating,720,750,,750.7,,2029-04-29T14:00:00+10:00,1998-12-07T09:30:00+10:00,2026-08-01T16:20:00+10:00
ERARING,Eraring,NEM,NSW1,-33.061039,151.51984,ER03,ER03,coal_black,operating,720,750,,786.825,,2029-04-29T14:00:00+10:00,1998-12-07T02:50:00+10:00,2026-08-01T16:20:00+10:00
ERARING,Eraring,NEM,NSW1,-33.061039,151.51984,ER02,ER02,coal_black,operating,720,750,,751.975,,2029-04-29T14:00:00+10:00,1998-12-07T02:50:00+10:00,2026-08-01T16:20:00+10:00
ERB,Eraring,NEM,NSW1,-33.066837,151.515026,ERB01,ERB01,battery,operating,614.6,460,1997,461.323,,2044-12-31T14:00:00+10:00,2025-03-04T12:30:00+10:00,2026-08-01T13:25:00+10:00
ERGT01,Eraring,NEM,NSW1,-33.062117,151.517224,ERGT01,ERGT01,distillate,operating,41.5,56,,41.4435,,2031-12-31T14:00:00+10:00,2013-05-28T08:00:00+10:00,2026-06-25T21:05:00+10:00
FWF,Ferguson,NEM,VIC1,-38.610902,143.179321,FSWF1,FSWF1,wind,operating,8,7,,,,2050-12-31T14:00:00Z,,
FWF,Ferguson,NEM,VIC1,-38.610902,143.179321,FNWF1,FNWF1,wind,operating,4,3,,,,2050-12-31T14:00:00Z,,
FINLEYSF,Finley,NEM,NSW1,-35.648941,145.50575,FINLYSF1,FINLYSF1,solar_utility,operating,162.36,133,,135.3323,,2048-12-31T14:00:00+10:00,2019-08-02T09:00:00+10:00,2026-08-01T16:20:00+10:00
FISHER,Fisher,NEM,TAS1,-41.673312,146.268511,FISHER,FISHER,hydro,operating,43.2,46,,47.95,,2099-12-31T14:00:00+10:00,2005-05-16T20:45:00+10:00,2026-08-01T16:20:00+10:00
FLATROCKS,Flat Rocks,WEM,WEM,-33.992789,117.354335,FLATROCKS_WF1,FLATROCKS_WF1,wind,operating,75.6,75.6,,73.4177,,2052-12-31T16:00:00+10:00,2023-11-26T12:05:00+10:00,2026-08-01T14:15:00+10:00
FLYCRKWF,Flyers Creek,NEM,NSW1,-33.517716,149.052949,FLYCRKWF,FLYCRKWF,wind,operating,145,140,,141.9,,2062-12-31T14:00:00+08:00,2023-09-20T11:00:00+08:00,2026-08-01T16:20:00+08:00
GANGARR,Gangarri,NEM,QLD1,-26.270557,149.758054,GANGARR1,GANGARR1,solar_utility,operating,162,120,,122.144,,2050-12-31T14:00:00+10:00,2021-09-21T11:50:00+10:00,2026-08-01T16:20:00+10:00
GANNBESS,Gannawarra,NEM,VIC1,-35.734598,143.779894,GANNB1,GANNB1,battery,operating,30,30,49.85,25.5143,,2032-12-31T14:00:00+10:00,2024-08-08T05:00:00+10:00,2026-08-01T16:20:00+10:00
GANNSF,Gannawarra,NEM,VIC1,-35.729012,143.783189,GANNSF1,GANNSF1,solar_utility,operating,55,50,,51.1,,2047-12-31T14:00:00+10:00,2018-04-06T12:20:00+10:00,2026-08-01T16:20:00+10:00
TESLA_GERALDTON,Geraldton,WEM,WEM,-28.790815,114.691831,TESLA_GERALDTON_G1,TESLA_GERALDTON_G1,distillate,operating,10,10,,10.68,,2047-07-31T16:00:00+10:00,2013-12-19T08:30:00+10:00,2026-08-01T07:55:00+10:00
GERMCRK,German Creek,NEM,QLD1,-22.928526,148.549097,GERMCRK,GERMCRK,gas_wcmg,operating,45,45,,45.1,,2035-12-31T14:00:00+10:00,2013-07-18T10:20:00+10:00,2026-08-01T16:20:00+10:00
GIRGSF,Girgarre,NEM,VIC1,-36.426125,144.922155,GIRGSF,GIRGSF,solar_utility,operating,93.31,76,,77.71,,2053-12-31T14:00:00+10:00,2024-07-20T10:30:00+10:00,2026-08-01T16:20:00+10:00
GSTONE,Gladstone,NEM,QLD1,-23.853641,151.217515,GSTONE3,GSTONE3,coal_black,operating,280,285,,296.1,,2029-03-30T14:00:00+10:00,1998-12-07T02:50:00+10:00,2026-08-01T16:20:00+10:00
GSTONE,Gladstone,NEM,QLD1,-23.853641,151.217515,GSTONE6,GSTONE6,coal_black,operating,280,285,,287.875,,2029-03-30T14:00:00+10:00,1998-12-07T02:50:00+10:00,2026-08-01T16:20:00+10:00
GSTONE,Gladstone,NEM,QLD1,-23.853641,151.217515,GSTONE4,GSTONE4,coal_black,operating,280,285,,290.5,,2029-03-30T14:00:00+10:00,1998-12-07T02:50:00+10:00,2026-08-01T16:20:00+10:00
GSTONE,Gladstone,NEM,QLD1,-23.853641,151.217515,GSTONE1,GSTONE1,coal_black,operating,280,285,,291.38,,2029-03-30T14:00:00+10:00,1998-12-07T02:50:00+10:00,2026-08-01T16:20:00+10:00
GSTONE,Gladstone,NEM,QLD1,-23.853641,151.217515,GSTONE2,GSTONE2,coal_black,operating,280,285,,350,,2029-03-30T14:00:00+10:00,1998-12-07T02:50:00+10:00,2026-07-31T22:45:00+10:00
GSTONE,Gladstone,NEM,QLD1,-23.853641,151.217515,GSTONE5,GSTONE5,coal_black,operating,280,285,,302.05,,2029-03-30T14:00:00+10:00,1998-12-07T02:50:00+10:00,2026-06-11T19:00:00+10:00
GLBWNHYD,Glenbawn,NEM,NSW1,-32.107937,150.999481,GLBWNHYD,GLBWNHYD,hydro,operating,5.5,6,,,,,,
GESF,Glenellen,NEM,NSW1,-35.929882,146.909107,GESF1,GESF1,solar_utility,commissioning,264,200,,170.1147,,2054-12-31T14:00:00+10:00,2025-11-24T06:50:00+10:00,2026-08-01T16:20:00+10:00
GLENMAGG,Glenmaggie,NEM,VIC1,-37.904836,146.800388,GLENMAG1,GLENMAG1,hydro,operating,3.8,4,,,,2054-12-31T14:00:00Z,,
GLENNCRK,Glennies Creek,NEM,NSW1,-32.459876,151.128697,GLENNCRK,GLENNCRK,gas_wcmg,operating,12.78,12,,,,2026-12-31T14:00:00Z,,
GLENSF,Glenrowan,NEM,VIC1,-36.464,146.221,GLENSF1,GLENSF1,solar_utility,operating,126,102,,106.51,,2052-12-31T14:00:00+10:00,2023-11-21T09:25:00+10:00,2026-08-01T16:20:00+10:00
GLRWNSF,Glenrowan West,NEM,VIC1,-36.4907,146.157473,GLRWNSF1,GLRWNSF1,solar_utility,operating,132,110,,111.72,,2050-12-31T14:00:00+10:00,2020-12-22T06:25:00+10:00,2026-08-01T16:20:00+10:00
GPWFEST,Golden Plains East,NEM,VIC1,-37.9729,143.783,GPWFEST1,GPWFEST1,wind,operating,248,240,,240.85,,2054-12-31T14:00:00+10:00,2024-09-18T14:00:00+10:00,2026-08-01T16:20:00+10:00
GPWFEST,Golden Plains East,NEM,VIC1,-37.9729,143.783,GPWFEST2,GPWFEST2,wind,operating,260.4,253,,253.74,,2054-12-31T14:00:00+10:00,2024-08-21T11:45:00+10:00,2026-08-01T16:20:00+10:00
GPWFEST,Golden Plains East,NEM,VIC1,-37.9729,143.783,GPWFEST3,GPWFEST3,wind,operating,248,240,,240.86,,2054-12-31T14:00:00+10:00,2025-05-30T10:00:00+10:00,2026-08-01T16:20:00+10:00
GPWFWST,Golden Plains West,NEM,VIC1,-37.90844,143.664887,GPWFWST1,GPWFWST1,wind,operating,266,258,,246.46,,2056-12-31T14:00:00+10:00,2026-01-28T14:50:00+10:00,2026-08-01T16:20:00+10:00
GOONUMSF,Goonumbla,NEM,NSW1,-33.109212,148.092982,GOONSF1,GOONSF1,solar_utility,operating,85,69,,72.1875,,2049-12-31T14:00:00+10:00,2020-05-12T13:00:00+10:00,2026-08-01T16:20:00+10:00
GOESF1,Goorambat East,NEM,VIC1,-36.427352,145.918853,GOESF1,GOESF1,solar_utility,operating,348.6,250,,255.55,,2060-12-31T14:00:00+10:00,2025-11-05T11:25:00+10:00,2026-08-01T16:20:00+10:00
GORDON,Gordon,NEM,TAS1,-42.740519,145.982796,GORDON,GORDON,hydro,operating,432,450,,442.045,,2099-12-31T14:00:00+10:00,2005-05-16T13:35:00+10:00,2026-08-01T16:20:00+10:00
GORDON,Gordon,NEM,TAS1,-42.740519,145.982796,GOVILLB1,GOVILLB1,hydro,operating,25,,,,,2099-12-31T14:00:00Z,,
GSWF,Goyder South,NEM,SA1,-33.682196,138.936249,GSWF1A,GSWF1A,wind,operating,209,201,,204.09,,2047-12-31T14:00:00+10:00,2024-04-04T14:50:00+10:00,2026-08-01T16:20:00+10:00
GSWF,Goyder South,NEM,SA1,-33.682196,138.936249,GSWF1B1,GSWF1B1,wind,operating,203,196,,199.3,,2048-12-31T14:00:00+10:00,2024-11-13T09:25:00+10:00,2026-08-01T16:20:00+10:00
GRANGEAV,Grange Avenue,NEM,NSW1,-33.713011,150.83316,GRANGEAV,GRANGEAV,bioenergy_biogas,operating,2,2,,,,2024-12-31T14:00:00Z,,
GRANWF,Granville Harbour,NEM,TAS1,-41.778439,145.065517,GRANWF1,GRANWF1,wind,operating,110,111,,111.67,,2054-12-31T14:00:00+10:00,2020-01-28T11:40:00+10:00,2026-08-01T16:20:00+10:00
GRASMERE,Grasmere,WEM,WEM,-35.065835,117.797506,GRASMERE_WF1,GRASMERE_WF1,wind,operating,13.8,13.8,,14,,2040-12-31T16:00:00+10:00,2013-12-18T08:00:00+10:00,2026-08-01T14:15:00+10:00
GREENB,Greenbank,NEM,QLD1,-27.733562,152.955042,GREENB1,GREENB1,battery,operating,259.2,200,400,200.8931,,2039-12-31T14:00:00+08:00,2025-02-13T15:10:00+08:00,2026-08-01T16:20:00+08:00
GREENOUGH_RIVER,Greenough River,WEM,WEM,-28.90381,115.10937,GREENOUGH_RIVER_PV1,GREENOUGH_RIVER_PV1,solar_utility,operating,40,40,,41,,2036-12-31T16:00:00+10:00,2013-12-17T08:00:00+10:00,2026-08-01T14:15:00+10:00
GRIFSF,Griffith,NEM,NSW1,-34.317617,146.121416,GRIFSF1,GRIFSF1,solar_utility,operating,27.2,27,,29.1,,2041-12-31T14:00:00+08:00,2018-04-20T15:35:00+08:00,2026-08-01T16:20:00+08:00
GROSV1,Grosvenor 1,NEM,QLD1,-21.929194,148.032416,GROSV1,GROSV1,gas_wcmg,operating,21,21,,,,2037-12-31T14:00:00Z,,
GROSV2,Grosvenor 2,NEM,QLD1,-21.929194,148.032416,GROSV2,GROSV2,gas_wcmg,operating,15.21,15,,,,2037-12-31T14:00:00Z,,
GULLRGWF,Gullen Range,NEM,NSW1,-34.615245,149.45808,GULLRSF1,GULLRSF1,solar_utility,operating,10,10,,10,,2049-12-31T14:00:00+10:00,2017-08-22T10:15:00+10:00,2026-08-01T16:20:00+10:00
GULLRGWF,Gullen Range,NEM,NSW1,-34.615245,149.45808,GULLRWF1,GULLRWF1,wind,operating,165,161,,165.5,,2049-12-31T14:00:00+10:00,2013-12-10T17:05:00+10:00,2026-08-01T16:20:00+10:00
GNNDHSF,Gunnedah,NEM,NSW1,-30.937263,150.344174,GNNDHSF1,GNNDHSF1,solar_utility,operating,144,110,,110.1272,,2055-12-31T14:00:00+10:00,2021-06-29T10:55:00+10:00,2026-08-01T16:20:00+10:00
GUNNING,Gunning,NEM,NSW1,-34.691531,149.373013,GUNNING1,GUNNING1,wind,operating,46.5,47,,50,,2035-12-31T14:00:00+10:00,2011-04-05T10:55:00+10:00,2026-08-01T16:20:00+10:00
GUSF,Gunsynd,NEM,QLD1,-28.408388,150.343437,GUSF1,GUSF1,solar_utility,operating,122.78,94,,93.9883,,2060-12-31T14:00:00+10:00,2025-11-20T07:40:00+10:00,2026-08-01T16:20:00+10:00
SNOWY3,Guthega,NEM,NSW1,-36.350097,148.413602,GUTHEGA,GUTHEGA,hydro,operating,60,80,,77.9,,2069-12-31T14:00:00+10:00,2001-07-16T07:40:00+10:00,2026-08-01T01:10:00+10:00
HLMSEW01,Hallam,NEM,VIC1,-38.143332,145.119964,HLMSEW01,HLMSEW01,hydro,operating,0.25,1,,,,,,
HALAMRD,Hallam Road,NEM,VIC1,-38.052181,145.267798,HALAMRD1,HALAMRD1,bioenergy_biogas,operating,8.98,9,,,,2059-12-31T14:00:00Z,,
AGLHAL,Hallett,NEM,SA1,-33.349528,138.751607,AGLHAL,AGLHAL,gas_ocgt,operating,217,255,,218.4439,,2049-12-31T14:00:00+10:00,2002-01-03T15:55:00+10:00,2026-08-01T00:05:00+10:00
HALLWF,Hallett 1,NEM,SA1,-33.328434,138.704669,HALLWF1,HALLWF1,wind,operating,95,95,,93.27,,2042-12-31T14:00:00+10:00,2007-12-19T05:50:00+10:00,2026-08-01T14:05:00+10:00
HALLWF2,Hallett 2,NEM,SA1,-33.53821,138.857215,HALLWF2,HALLWF2,wind,operating,71.4,71,,81.36,,2034-12-31T14:00:00+10:00,2009-05-12T14:55:00+10:00,2026-08-01T14:20:00+10:00
HAMISF,Hamilton,NEM,QLD1,-20.496081,147.738803,HAMISF1,HAMISF1,solar_utility,operating,57.5,56,,56.7,,2047-12-31T14:00:00+10:00,2018-07-10T12:40:00+10:00,2026-08-01T16:20:00+10:00
HAMPTON,Hampton,NEM,NSW1,-33.649722,150.05,HAMPTON,HAMPTON,wind,operating,1.32,1.32,,,,,,
HVWW,Happy Valley,NEM,SA1,-35.063118,138.56476,HVWWBA1,HVWWBA1,battery,operating,5,4,8.8,4.538,,2040-12-31T14:00:00+10:00,2024-09-18T19:15:00+10:00,2026-08-01T16:20:00+10:00
HVWW,Happy Valley,NEM,SA1,-35.063118,138.56476,HVWWPV1,HVWWPV1,solar_utility,operating,11,8,,8.608,,2040-12-31T14:00:00+10:00,2022-06-15T15:55:00+10:00,2026-08-01T16:20:00+10:00
HASTING,Hastings,NEM,VIC1,-38.295952,145.221926,HASTINGS1,HASTINGS1,gas_ocgt,operating,14.82,14.33,,,,2033-12-31T14:00:00Z,,
HASTING,Hastings,NEM,VIC1,-38.295952,145.221926,HASTINGS2,HASTINGS2,gas_ocgt,operating,14.82,14.33,,,,2033-12-31T14:00:00Z,,
HASTING,Hastings,NEM,VIC1,-38.295952,145.221926,HASTINGS3,HASTINGS3,gas_ocgt,operating,14.82,14.33,,,,2033-12-31T14:00:00Z,,
HAUGHT1,Haughton,NEM,QLD1,-19.750134,147.048103,HAUGHT11,HAUGHT11,solar_utility,operating,132,100,,101.0811,,2048-12-31T14:00:00+10:00,2019-05-28T09:35:00+10:00,2026-08-01T16:20:00+10:00
HD1WF,Hawkesdale,NEM,VIC1,-38.148008,142.360925,HD1WF1,HD1WF1,wind,operating,94.6,89,,89.88,,2053-12-31T14:00:00+10:00,2024-06-17T08:55:00+10:00,2026-08-01T16:20:00+10:00
HAYMSF,Hayman,NEM,QLD1,-20.510097,147.755711,HAYMSF1,HAYMSF1,solar_utility,operating,57.75,50,,50.213,,2047-12-31T14:00:00+10:00,2019-01-12T09:15:00+10:00,2026-08-01T16:20:00+10:00
HBESS,Hazelwood BESS,NEM,VIC1,-38.267845,146.390293,HBESS1,HBESS1,battery,operating,200,150,150,153.4,,2042-12-31T14:00:00+10:00,2024-08-27T11:15:00+10:00,2026-08-01T12:45:00+10:00
HENDERSON_RENEWABLE,Henderson,WEM,WEM,-32.164003,115.790695,HENDERSON_RENEWABLE_IG1,HENDERSON_RENEWABLE_IG1,bioenergy_biogas,operating,3,3,,4.28,,,2013-12-17T08:00:00+10:00,2026-08-01T14:15:00+10:00
HEPWIND,Hepburn,NEM,VIC1,-37.424555,144.115711,HEPWIND1,HEPWIND1,wind,operating,4.1,4,,,,2036-05-31T14:00:00Z,,
