facility_code,facility_name,network_id,network_region,latitude,longitude,unit_code,unit_code_display,fueltech_id,status_id,capacity_registered,capacity_maximum,capacity_storage,max_generation,registered_date,expected_closure_date,data_first_seen,data_last_seen
BAYSW,Bayswater,NEM,NSW1,-32.394981,150.94949,BW03,BW03,coal_black,operating,660,685,,719.6765,,2032-12-31T14:00:00+10:00,1998-12-07T02:50:00+10:00,2026-08-01T16:20:00+10:00
BAYSW,Bayswater,NEM,NSW1,-32.394981,150.94949,BW01,BW01,coal_black,operating,660,660,,1498,,2032-12-31T14:00:00+10:00,1998-12-07T02:50:00+10:00,2026-08-01T16:20:00+10:00
BAYSW,Bayswater,NEM,NSW1,-32.394981,150.94949,BW02,BW02,coal_black,operating,660,685,,748.225,,2032-12-31T14:00:00+10:00,1998-12-07T02:50:00+10:00,2026-08-01T16:20:00+10:00
BBP31,Bell Bay Three,NEM,TAS1,-41.139324,146.905522,TVPP104,TVPP104,gas_ocgt,operating,58,58,,58.4126,,2049-12-31T14:00:00+10:00,2009-04-01T18:20:00+10:00,2026-07-31T09:10:00+10:00
BBP31,Bell Bay Three,NEM,TAS1,-41.139324,146.905522,BBTHREE3,BBTHREE3,gas_ocgt,operating,35,49,,45.11,,2039-12-31T14:00:00+10:00,2006-06-29T15:10:00+10:00,2026-07-13T18:10:00+10:00
BBP31,Bell Bay Three,NEM,TAS1,-41.139324,146.905522,BBTHREE1,BBTHREE1,gas_ocgt,operating,35,49,,110.57,,2039-12-31T14:00:00+10:00,2006-07-26T14:30:00+10:00,2026-07-08T20:05:00+10:00
BBP31,Bell Bay Three,NEM,TAS1,-41.139324,146.905522,BBTHREE2,BBTHREE2,gas_ocgt,operating,35,49,,109.87,,2039-12-31T14:00:00+10:00,2006-08-21T17:15:00+10:00,2026-04-30T10:35:00+10:00
BLAIRFOX_BEROSRD_WF,Beros Road,WEM,WEM,-29.957885,115.362947,BLAIRFOX_BEROSRD_WF1,BLAIRFOX_BEROSRD_WF1,wind,operating,9.5,9.5,,8.62,,,2019-07-29T08:00:00+08:00,2026-08-01T14:15:00+08:00
BRYB1WF1,Berrybank,NEM,VIC1,-37.885519,143.453446,BRYB1WF1,BRYB1WF1,wind,operating,180.6,175.9,,179,,2049-12-31T14:00:00+10:00,2021-02-16T00:05:00+10:00,2026-08-01T16:20:00+10:00
BRYB1WF1,Berrybank,NEM,VIC1,-37.885519,143.453446,BRYB2WF2,BRYB2WF2,wind,operating,109,105,,105.9495,,2051-12-31T14:00:00+10:00,2022-11-29T07:50:00+10:00,2026-08-01T16:20:00+10:00
BERYLSF,Beryl,NEM,NSW1,-32.356446,149.470517,BERYLSF1,BERYLSF1,solar_utility,operating,98,87,,87.4758,,2048-12-31T14:00:00+10:00,2019-04-23T09:55:00+10:00,2026-08-01T16:20:00+10:00
